,title,link,pubDate,description,page_owner,subject,date_index
0,Ignite Innovation: A mini invention challenge to enrich learning experiences across content areas,https://www.uspto.gov/about-us/events/ignite-innovation-mini-invention-challenge-enrich-learning-experiences-across,"Tue, 28 May 2024 18:00:00 EST","For this month's K-12 education webinar, join the United States Patent and Trademark Office (USPTO) and STEMisED for a professional development session for educators on Tuesday, May 28 from 6-7 p.m. ET.Education experts Kathy Hoppe and Christine Lawlor-King, both former educators with more than 30 years of combined experience in the classroom, will introduce the mini invention challenge as a way to integrate invention across diverse content areas. In the mini invention challenge, students discover how invention leads to exploration, creativity, and experimentation. They learn to generate ideas, prototype solutions, and effectively communicate their findings. By harnessing the power of invention, teachers can create a culture of innovation that empowers students to become active participants in shaping their future.Visit the event page to learn more and sign up. You can also visit EdWeb's tips and tricks page to learn more about how to view the live presentation, access the recording, earn your CE certificate, and use EdWeb's new accessibility features.Register todayThis webinar will be presented by: Kathy Hoppe, owner of STEMisED and educational engagement contractor at the USPTO. Kathy has over 30 years of experience in the classroom and is a former Albert Einstein Distinguished Educator (2013-15) placed at the National Science Foundation in the Directorate of Engineering. Christine Lawlor-King is an expert consultant in the field of invention education. A former middle school teacher, Christine recently served as Invention Education Program Manager for Lemelson-MIT and is a recipient of the STEM Connector’s Community Trailblazer Award.USPTO professional development webinarsThe USPTO hosts monthly professional development webinars for K-12 educators interested in integrating intellectual property (IP), innovation, and invention activities into their STEM/STEAM curriculum. Whether you're a school administrator, teacher, student, parent, or caregiver, you are welcome to join us every month to hear from educators and learn about different types of IP, including patents, trademarks, copyrights, and trade secrets. These sessions can help inspire a classroom of problem solvers and shape career choices. Webinars are held once a month. Visit the USPTO's Kids, students, and educators page to learn more.For questions about the event, email education@uspto.gov.",education,Kids,20240528
0,SOaR presents: How to use Patent Public Search tool to search like an examiner,https://www.uspto.gov/about-us/events/soar-presents-how-use-patent-public-search-tool-search-examiner,"Wed, 29 May 2024 13:00:00 EST","Are you interested in learning how to use the Patent Public Search tool (PPUBS) to search like an examiner? If so, Stakeholder Offerings and Resources (SOaR) has the training for you. On Wednesday, May 29, at 1 p.m. ET, SOaR will provide virtual training on how to use PPUBS, with live search demonstrations from an expert who will highlight techniques examiners use.Register todayThe PPUBS training will include:A demonstration of how to use Patent Public Search tool Explanation of how examiners searchLive search examplesThough SOaR training events are free to the public, preregistration is required. Once registered, you will receive instructions for joining the webinar via email.For more information on SOaR trainings, email SOaR@uspto.gov. Captioning service will be provided.",Patent Stakeholders,"Patents, SOAR",20240529
0,Successful Inventing: Research,https://www.uspto.gov/about-us/events/successful-inventing-research,"Wed, 29 May 2024 14:00:00 EST","Are you new to the invention process? If so, register today for the first event in the Successful Inventing series, presented by the United States Patent and Trademark Office (USPTO) and the Licensing Executives Society - Silicon Valley Chapter. The first session focuses on the initial research and will address the following topics:Who is the buyer/customer?Do I need a patent search or a commercial search?How does your product idea fit the market?What are the product benefits and value over the competition?Register todayThe Successful Inventing series covers various aspects of the invention process. Each biweekly session is held virtually. Participants will hear experts discuss topics that include intellectual property, product development, licensing, funding, and more.A question-and-answer session will follow the presentation. Please send your questions in advance or during the event to SiliconValley@uspto.gov.For more information, please email SiliconValley@uspto.gov.",Svalley,"Patents, Trademarks, Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240529
0,Standard essential patent/FRAND disputes: Deal mediation,https://www.uspto.gov/about-us/events/standard-essential-patentfrand-disputes-deal-mediation,"Wed, 29 May 2024 10:00:00 EST","Join the U.S. Patent and Trademark Office (USPTO) and the World Intellectual Property Organization (WIPO) on Wednesday, May 29, from 10-11 a.m. ET, for a free webinar on how deal mediation may be used to facilitate negotiations related to standard essential patents (SEPs) and “fair, reasonable, and non-discriminatory” (FRAND) licensing. The program will feature:Opening remarks by Kathi Vidal, Under Secretary of Commerce for Intellectual Property and Director of the USPTO, and Marco Alemán, WIPO Assistant Director General, Intellectual Property Innovation and Ecosystems SectorA panel on deal mediation and FRAND disputes A question-and-answer session The webinar is organized by the USPTO and the WIPO Arbitration and Mediation Center. There is no charge to attend, but advance registration is required. Register todayAgenda The agenda is subject to change. All times below are in Eastern Time (ET).  10:00 – 10:10 a.m.Opening remarksMarco Alemán, Assistant Director General, IP Innovation and Ecosystems Sector, WIPOKathi Vidal, Director, United States Patent and Trademark Office10:10 – 10:50 a.m.Deal mediation in FRAND disputesModerators: Christian A. Hannon, USPTO, and Heike Wollgast, Head, IP Disputes Section, WIPO CenterMichele Herman, Founder of JusTech Law, USAMargarita Kato, Legal Officer, WIPO Center, SingaporeChung Nian Lam, WongPartnership LLP, Singapore10:50 – 11:00 a.m.Questions and answers",OPIA,"International, World Intellectual Property Organization (WIPO)",20240529
34,Virtual office hour with USPTO patent examiners,https://www.uspto.gov/jobs/virtual-office-hour-uspto-patent-examiners-15,"Wed, 29 May 2024 12:00:00 EST","Calling all scientists and engineers!Seeking a career at the United States Patent and Trademark Office (USPTO) as a patent examiner? If you are a U.S. citizen and are graduating this year with a focus in…BiologyBiomedical EngineeringChemistryChemical EngineeringComputer EngineeringComputer ScienceDesignElectrical EngineeringMechanical EngineeringPhysics …then bring your questions about the agency, the role, and the hiring process to this informal Q&A session with current USPTO patent examiners on May 29 at noon ET. Our team members are excited to answer your questions, chat with you, and provide you with more information about this opportunity. Join sessionYou do not need to register for this event but come prepared with any questions you may have. We hope to see you there! For more information, contact recruitment@uspto.gov. When you are ready to apply, submit your application via USAJOBS.",OHR,Events,20240529
35,Trademark basics: Learn the fundamentals,https://www.uspto.gov/about-us/events/trademark-basics-learn-fundamentals-0,"Wed, 05 Jun 2024 19:00:00 EST", ,Trademarks,Trademark Process,20240605
36,Virtual office hour with USPTO patent examiners,https://www.uspto.gov/jobs/virtual-office-hour-uspto-patent-examiners-16,"Wed, 05 Jun 2024 12:00:00 EST","Calling all scientists and engineers!Seeking a career at the United States Patent and Trademark Office (USPTO) as a patent examiner? If you are a U.S. citizen and are graduating this year with a focus in…BiologyBiomedical EngineeringChemistryChemical EngineeringComputer EngineeringComputer ScienceDesignElectrical EngineeringMechanical EngineeringPhysics …then bring your questions about the agency, the role, and the hiring process to this informal Q&A session with current USPTO patent examiners on June 5 at noon ET. Our team members are excited to answer your questions, chat with you, and provide you with more information about this opportunity. Join sessionYou do not need to register for this event but come prepared with any questions you may have. We hope to see you there! For more information, contact recruitment@uspto.gov. When you are ready to apply, submit your application via USAJOBS.",OHR,Events,20240605
38,"The Path to a Patent, Part VII: How to file a patent application using Patent Center",https://www.uspto.gov/about-us/events/path-patent-part-vii-how-file-patent-application-using-patent-center-5,"Thu, 06 Jun 2024 14:00:00 EST","Looking for more information on using Patent Center? In part seven of this eight-part recurring series, our experts will teach participants how to use this tool to file and manage patent documents online.This presentation will feature filing application documents in DOCX format, including using Patent Center training mode to practice filing. You will learn about some helpful resources, such as the Inventors Assistance Center (IAC) and the Patent Electronics Business Center (EBC). Register todayFor more information, please email RockyMountain@uspto.gov or SiliconValley@uspto.gov.",Svalley,"Alexandria VA (Headquarters), Dallas, Denver, Silicon Valley, Detroit",20240606
37,One-day patents boot camp,https://www.uspto.gov/about-us/events/one-day-patents-boot-camp-10,"Thu, 06 Jun 2024 10:00:00 EST","Join the United States Patent and Trademark Office (USPTO) for a one-day patents boot camp on June 6, 2024, from 9 a.m. to 5 p.m. CT at the Small Business Development Center in Hammond, Louisiana. This in-person, single-day workshop is for entrepreneurs, small businesses, and inventors in communities with limited or no internet access, covering tools, techniques, and resources to understand the patent application process.The event provides a scaffolded approach to understanding patents and intellectual property (IP) rights, the importance of claims in a patent application, and the various patent application requirements. It also includes:How to search prior artHow to properly draft claims Understanding the application formsHow to use Patent Center to file electronicallyThere will be plenty of question-and-answer sessions throughout the day, plus a discussion about free resources available through the USPTO. This event is free, but registration is required. For registration information, questions about the one-day event or the One-day patent and trademark boot camp series, please email Andriae.Holt@uspto.gov.",Patents,"Patents, SOAR, Training",20240606
0,Federal trademark searching: Overview,https://www.uspto.gov/about-us/events/federal-trademark-searching-overview-6,"Fri, 07 Jun 2024 15:00:00 EST", ,Trademarks,Search,20240607
